N,Depth,Algorithm,Threads,AvgMoveTime
5,5,1,1,0.282636
5,5,2,2,0.149569
5,5,2,4,0.082515
5,5,2,8,0.050505
5,5,3,2,0.149425
5,5,3,4,0.082487
5,5,3,8,0.050724
5,6,1,1,0.726725
5,6,2,2,0.374369
5,6,2,4,0.201344
5,6,2,8,0.123235
5,6,3,2,0.379355
5,6,3,4,0.201668
5,6,3,8,0.122691
6,5,1,1,2.356023
6,5,2,2,1.241899
6,5,2,4,0.674256
6,5,2,8,0.399179
6,5,3,2,1.230798
6,5,3,4,0.682155
6,5,3,8,0.401235
6,6,1,1,8.189943
6,6,2,2,4.260411
6,6,2,4,2.320071
6,6,2,8,1.357509
6,6,3,2,4.284888
6,6,3,4,2.337678
6,6,3,8,1.346007
